emoji,name,group,subgroup,literal,clarity,keep
😭,loudly crying face,Smileys & Emotion,face-concerned,sob,,
😱,face screaming in fear,Smileys & Emotion,face-concerned,scream,,
😖,confounded face,Smileys & Emotion,face-concerned,confounded,,
😣,persevering face,Smileys & Emotion,face-concerned,persevering,,
😞,disappointed face,Smileys & Emotion,face-concerned,disappointed,,
😓,downcast face with sweat,Smileys & Emotion,face-concerned,stressed,,
😩,weary face,Smileys & Emotion,face-concerned,weary,,
😫,tired face,Smileys & Emotion,face-concerned,tired,,
🥱,yawning face,Smileys & Emotion,face-concerned,yawn,,
😤,face with steam from nose,Smileys & Emotion,face-negative,triumph,,
😡,enraged face,Smileys & Emotion,face-negative,rage,,
😠,angry face,Smileys & Emotion,face-negative,angry,,
🤬,face with symbols on mouth,Smileys & Emotion,face-negative,cursing,,
😈,smiling face with horns,Smileys & Emotion,face-negative,devil,,
👿,angry face with horns,Smileys & Emotion,face-negative,angry-devil,,
💀,skull,Smileys & Emotion,face-negative,skull,,
☠️,skull and crossbones,Smileys & Emotion,face-negative,skull-crossbones,,
💩,pile of poo,Smileys & Emotion,face-costume,poop,,
🤡,clown face,Smileys & Emotion,face-costume,clown,,
👹,ogre,Smileys & Emotion,face-costume,ogre,,
👺,goblin,Smileys & Emotion,face-costume,goblin,,
👻,ghost,Smileys & Emotion,face-costume,ghost,,
👽,alien,Smileys & Emotion,face-costume,alien,,
👾,alien monster,Smileys & Emotion,face-costume,alien-monster,,
🤖,robot,Smileys & Emotion,face-costume,robot,,
😺,grinning cat,Smileys & Emotion,cat-face,cat-grin,,
😸,grinning cat with smiling eyes,Smileys & Emotion,cat-face,cat-grin,,
😹,cat with tears of joy,Smileys & Emotion,cat-face,cat-laugh,,
😻,smiling cat with heart-eyes,Smileys & Emotion,cat-face,cat-heart-eyes,,
😼,cat with wry smile,Smileys & Emotion,cat-face,cat-smirk,,
😽,kissing cat,Smileys & Emotion,cat-face,cat-kiss,,
🙀,weary cat,Smileys & Emotion,cat-face,cat-weary,,
😿,crying cat,Smileys & Emotion,cat-face,cat-cry,,
😾,pouting cat,Smileys & Emotion,cat-face,cat-pout,,
🙈,see-no-evil monkey,Smileys & Emotion,monkey-face,see-no-evil,,
🙉,hear-no-evil monkey,Smileys & Emotion,monkey-face,hear-no-evil,,
🙊,speak-no-evil monkey,Smileys & Emotion,monkey-face,speak-no-evil,,
💌,love letter,Smileys & Emotion,heart,love-letter,,
💘,heart with arrow,Smileys & Emotion,heart,heart-arrow,,
💝,heart with ribbon,Smileys & Emotion,heart,heart-ribbon,,
💖,sparkling heart,Smileys & Emotion,heart,sparkling-heart,,
💗,growing heart,Smileys & Emotion,heart,growing-heart,,
💓,beating heart,Smileys & Emotion,heart,beating-heart,,
💞,revolving hearts,Smileys & Emotion,heart,revolving-hearts,,
💕,two hearts,Smileys & Emotion,heart,two-hearts,,
💟,heart decoration,Smileys & Emotion,heart,heart-decoration,,
❣️,heart exclamation,Smileys & Emotion,heart,heart-exclamation,,
💔,broken heart,Smileys & Emotion,heart,broken-heart,,
