lemma,status,emoji,literal,clarity,source,notes
spread,redundant,,,,lemma-map,→ world
driver,redundant,,,,lemma-map,→ drive
ball,redundant,,,,lemma-map,→ sport
requirement,redundant,,,,lemma-map,→ need
north,redundant,,,,lemma-map,→ way
confirm,redundant,,,,lemma-map,→ sure
senior,redundant,,,,lemma-map,→ old
emerge,redundant,,,,lemma-map,→ morning
concept,redundant,,,,lemma-map,→ idea
reform,redundant,,,,lemma-map,→ change
survive,redundant,,,,lemma-map,→ help
flight,redundant,,,,lemma-map,→ travel
solve,redundant,,,,lemma-map,→ solution
neighbor,redundant,,,,lemma-map,→ home
background,redundant,,,,lemma-map,→ picture
technique,redundant,,,,lemma-map,→ way
improvement,redundant,,,,lemma-map,→ increase
consequence,redundant,,,,lemma-map,→ connect
circumstance,redundant,,,,lemma-map,→ worry
reaction,redundant,,,,lemma-map,→ happen
busy,redundant,,,,lemma-map,→ move
mass,redundant,,,,lemma-map,→ high
contribute,redundant,,,,lemma-map,→ add
failure,redundant,,,,lemma-map,→ fail
schedule,redundant,,,,lemma-map,→ year
speaker,redundant,,,,lemma-map,→ loud
bottom,redundant,,,,lemma-map,→ below
adopt,redundant,,,,lemma-map,→ little
combine,redundant,,,,lemma-map,→ join
hide,redundant,,,,lemma-map,→ seem
meal,redundant,,,,lemma-map,→ food
colleague,redundant,,,,lemma-map,→ worker
expression,redundant,,,,lemma-map,→ happy
extremely,redundant,,,,lemma-map,→ high
plane,redundant,,,,lemma-map,→ travel
commercial,redundant,,,,lemma-map,→ store
strength,redundant,,,,lemma-map,→ strong
cultural,redundant,,,,lemma-map,→ perform
arrange,redundant,,,,lemma-map,→ plan
scheme,redundant,,,,lemma-map,→ plan
unfortunately,redundant,,,,lemma-map,→ sad
brief,redundant,,,,lemma-map,→ note
demonstrate,redundant,,,,lemma-map,→ true
contribution,redundant,,,,lemma-map,→ add
appreciate,redundant,,,,lemma-map,→ thank
chapter,redundant,,,,lemma-map,→ read
apparently,redundant,,,,lemma-map,→ look
novel,redundant,,,,lemma-map,→ new
burn,redundant,,,,lemma-map,→ heat
trend,redundant,,,,lemma-map,→ follow
initial,redundant,,,,lemma-map,→ start
pleasure,redundant,,,,lemma-map,→ happy
suggestion,redundant,,,,lemma-map,→ solution
critical,redundant,,,,lemma-map,→ important
mostly,redundant,,,,lemma-map,→ lot
earth,redundant,,,,lemma-map,→ world
pop,redundant,,,,lemma-map,→ happen
essential,redundant,,,,lemma-map,→ need
desire,redundant,,,,lemma-map,→ want
promote,redundant,,,,lemma-map,→ announce
currently,redundant,,,,lemma-map,→ now
employ,redundant,,,,lemma-map,→ work
path,redundant,,,,lemma-map,→ way
topic,redundant,,,,lemma-map,→ tell
attract,redundant,,,,lemma-map,→ interest
engage,redundant,,,,lemma-map,→ join
powerful,redundant,,,,lemma-map,→ power
crisis,redundant,,,,lemma-map,→ problem
settle,redundant,,,,lemma-map,→ agree
aid,redundant,,,,lemma-map,→ help
fresh,redundant,,,,lemma-map,→ new
delay,redundant,,,,lemma-map,→ late
safety,redundant,,,,lemma-map,→ safe
quiet,redundant,,,,lemma-map,→ silence
insurance,redundant,,,,lemma-map,→ defend
length,redundant,,,,lemma-map,→ long
investigation,redundant,,,,lemma-map,→ agent
somewhere,redundant,,,,lemma-map,→ place
expand,redundant,,,,lemma-map,→ increase
commit,redundant,,,,lemma-map,→ agree
relatively,redundant,,,,lemma-map,→ same
host,redundant,,,,lemma-map,→ service
district,redundant,,,,lemma-map,→ city
broad,redundant,,,,lemma-map,→ wide
tire,redundant,,,,lemma-map,→ drive
spring,redundant,,,,lemma-map,→ life
lunch,redundant,,,,lemma-map,→ food
actual,redundant,,,,lemma-map,→ true
battle,redundant,,,,lemma-map,→ war
tradition,redundant,,,,lemma-map,→ story
cash,redundant,,,,lemma-map,→ money
hardly,redundant,,,,lemma-map,→ less
award,redundant,,,,lemma-map,→ win
coach,redundant,,,,lemma-map,→ success
experiment,redundant,,,,lemma-map,→ test
consideration,redundant,,,,lemma-map,→ law
code,redundant,,,,lemma-map,→ computer
possibly,redundant,,,,lemma-map,→ maybe
threat,redundant,,,,lemma-map,→ problem
accident,redundant,,,,lemma-map,→ happen
impossible,redundant,,,,lemma-map,→ never
revenue,redundant,,,,lemma-map,→ money
enable,redundant,,,,lemma-map,→ open
active,redundant,,,,lemma-map,→ run
conclude,redundant,,,,lemma-map,→ end
religious,redundant,,,,lemma-map,→ believe
convince,redundant,,,,lemma-map,→ debate
vary,redundant,,,,lemma-map,→ different
environmental,redundant,,,,lemma-map,→ nature
healthy,redundant,,,,lemma-map,→ health
volume,redundant,,,,lemma-map,→ loud
location,redundant,,,,lemma-map,→ place
proceed,redundant,,,,lemma-map,→ go
wash,redundant,,,,lemma-map,→ clean
actor,redundant,,,,lemma-map,→ perform
glad,redundant,,,,lemma-map,→ happy
stone,redundant,,,,lemma-map,→ hard
sum,redundant,,,,lemma-map,→ calculate
murder,redundant,,,,lemma-map,→ death
soldier,redundant,,,,lemma-map,→ war
finance,redundant,,,,lemma-map,→ money
concert,redundant,,,,lemma-map,→ music
usual,redundant,,,,lemma-map,→ easy
carefully,redundant,,,,lemma-map,→ look
pack,redundant,,,,lemma-map,→ get
recall,redundant,,,,lemma-map,→ know
manufacture,redundant,,,,lemma-map,→ make
cycle,redundant,,,,lemma-map,→ bike
totally,redundant,,,,lemma-map,→ lot
museum,redundant,,,,lemma-map,→ government
visitor,redundant,,,,lemma-map,→ visit
freedom,redundant,,,,lemma-map,→ free
objective,redundant,,,,lemma-map,→ target
historical,redundant,,,,lemma-map,→ story
oppose,redundant,,,,lemma-map,→ opposite
branch,redundant,,,,lemma-map,→ forest
vehicle,redundant,,,,lemma-map,→ drive
route,redundant,,,,lemma-map,→ way
danger,redundant,,,,lemma-map,→ problem
dangerous,redundant,,,,lemma-map,→ problem
decrease,redundant,,,,lemma-map,→ less
hurt,redundant,,,,lemma-map,→ pain
normally,redundant,,,,lemma-map,→ easy
gift,redundant,,,,lemma-map,→ give
deny,redundant,,,,lemma-map,→ never
guest,redundant,,,,lemma-map,→ service
bedroom,redundant,,,,lemma-map,→ rest
basically,redundant,,,,lemma-map,→ wall
mainly,redundant,,,,lemma-map,→ great
belief,redundant,,,,lemma-map,→ believe
technical,redundant,,,,lemma-map,→ use
skin,redundant,,,,lemma-map,→ someone
fairly,redundant,,,,lemma-map,→ law
assessment,redundant,,,,lemma-map,→ assess
proper,redundant,,,,lemma-map,→ good
component,redundant,,,,lemma-map,→ part
lawyer,redundant,,,,lemma-map,→ law
industrial,redundant,,,,lemma-map,→ industry
arrest,redundant,,,,lemma-map,→ officer
relevant,redundant,,,,lemma-map,→ important
explore,redundant,,,,lemma-map,→ find
leadership,redundant,,,,lemma-map,→ leader
commitment,redundant,,,,lemma-map,→ agree
wake,redundant,,,,lemma-map,→ morning
necessarily,redundant,,,,lemma-map,→ need
slowly,redundant,,,,lemma-map,→ slow
bond,redundant,,,,lemma-map,→ connect
tie,redundant,,,,lemma-map,→ connect
internal,redundant,,,,lemma-map,→ inside
expense,redundant,,,,lemma-map,→ price
recommendation,redundant,,,,lemma-map,→ solution
friendly,redundant,,,,lemma-map,→ friend
plenty,redundant,,,,lemma-map,→ lot
entirely,redundant,,,,lemma-map,→ all
strongly,redundant,,,,lemma-map,→ strong
principal,redundant,,,,lemma-map,→ leader
master,redundant,,,,lemma-map,→ leader
definitely,redundant,,,,lemma-map,→ true
grade,redundant,,,,lemma-map,→ score
predict,redundant,,,,lemma-map,→ maybe
previously,redundant,,,,lemma-map,→ return
protection,redundant,,,,lemma-map,→ protect
largely,redundant,,,,lemma-map,→ high
rent,redundant,,,,lemma-map,→ home
appearance,redundant,,,,lemma-map,→ look
reasonable,redundant,,,,lemma-map,→ law
guarantee,redundant,,,,lemma-map,→ safe
till,redundant,,,,lemma-map,→ wait
theme,redundant,,,,lemma-map,→ piano
judgment,redundant,,,,lemma-map,→ judge
odd,redundant,,,,lemma-map,→ strange
approve,redundant,,,,lemma-map,→ like
definition,redundant,,,,lemma-map,→ note
elect,redundant,,,,lemma-map,→ vote
comparison,redundant,,,,lemma-map,→ same
license,redundant,,,,lemma-map,→ identify
narrow,redundant,,,,lemma-map,→ less
succeed,redundant,,,,lemma-map,→ success
desk,redundant,,,,lemma-map,→ computer
seriously,redundant,,,,lemma-map,→ worry
commission,redundant,,,,lemma-map,→ government
unique,redundant,,,,lemma-map,→ new
association,redundant,,,,lemma-map,→ agree
investor,redundant,,,,lemma-map,→ invest
practical,redundant,,,,lemma-map,→ tool
lovely,redundant,,,,lemma-map,→ love
lock,redundant,,,,lemma-map,→ safe
expectation,redundant,,,,lemma-map,→ maybe
employment,redundant,,,,lemma-map,→ work
sexual,redundant,,,,lemma-map,→ pair
shoulder,redundant,,,,lemma-map,→ strong
breath,redundant,,,,lemma-map,→ breathe
increasingly,redundant,,,,lemma-map,→ increase
import,redundant,,,,lemma-map,→ get
cast,redundant,,,,lemma-map,→ catch
notion,redundant,,,,lemma-map,→ idea
conservative,redundant,,,,lemma-map,→ government
opposition,redundant,,,,lemma-map,→ opposite
debt,redundant,,,,lemma-map,→ loan
outcome,redundant,,,,lemma-map,→ result
blame,redundant,,,,lemma-map,→ refer
explanation,redundant,,,,lemma-map,→ tell
arise,redundant,,,,lemma-map,→ morning
musical,redundant,,,,lemma-map,→ piano
recover,redundant,,,,lemma-map,→ health
dad,redundant,,,,lemma-map,→ guy
suitable,redundant,,,,lemma-map,→ part
analyze,redundant,,,,lemma-map,→ examine
ordinary,redundant,,,,lemma-map,→ easy
selection,redundant,,,,lemma-map,→ choose
anywhere,redundant,,,,lemma-map,→ place
participant,redundant,,,,lemma-map,→ participate
specifically,redundant,,,,lemma-map,→ specific
entry,redundant,,,,lemma-map,→ leave
peak,redundant,,,,lemma-map,→ high
significantly,redundant,,,,lemma-map,→ important
surely,redundant,,,,lemma-map,→ sure
presentation,redundant,,,,lemma-map,→ show
faith,redundant,,,,lemma-map,→ believe
reduction,redundant,,,,lemma-map,→ less
complaint,redundant,,,,lemma-map,→ complain
thin,redundant,,,,lemma-map,→ less
religion,redundant,,,,lemma-map,→ believe
reject,redundant,,,,lemma-map,→ bad
frequently,redundant,,,,lemma-map,→ frequent
helpful,redundant,,,,lemma-map,→ help
attractive,redundant,,,,lemma-map,→ beautiful
impression,redundant,,,,lemma-map,→ impress
unable,redundant,,,,lemma-map,→ can
electronic,redundant,,,,lemma-map,→ computer
criminal,redundant,,,,lemma-map,→ officer
properly,redundant,,,,lemma-map,→ good
closely,redundant,,,,lemma-map,→ safe
mobile,redundant,,,,lemma-map,→ call
hell,redundant,,,,lemma-map,→ heat
everywhere,redundant,,,,lemma-map,→ world
household,redundant,,,,lemma-map,→ home
east,redundant,,,,lemma-map,→ morning
academic,redundant,,,,lemma-map,→ school
scientific,redundant,,,,lemma-map,→ science
construct,redundant,,,,lemma-map,→ make
medicine,redundant,,,,lemma-map,→ health
professor,redundant,,,,lemma-map,→ teach
dozen,redundant,,,,lemma-map,→ number
widely,redundant,,,,lemma-map,→ wide
equally,redundant,,,,lemma-map,→ equal
alive,redundant,,,,lemma-map,→ life
permanent,redundant,,,,lemma-map,→ always
emotion,redundant,,,,lemma-map,→ feel
tall,redundant,,,,lemma-map,→ high
enemy,redundant,,,,lemma-map,→ war
stable,redundant,,,,lemma-map,→ steady
merely,redundant,,,,lemma-map,→ mere
injury,redundant,,,,lemma-map,→ wound
vast,redundant,,,,lemma-map,→ high
immediate,redundant,,,,lemma-map,→ now
draft,redundant,,,,lemma-map,→ write
seed,redundant,,,,lemma-map,→ life
temporary,redundant,,,,lemma-map,→ moment
lake,redundant,,,,lemma-map,→ water
competitive,redundant,,,,lemma-map,→ compete
truly,redundant,,,,lemma-map,→ true
hi,redundant,,,,lemma-map,→ hello
disk,redundant,,,,lemma-map,→ album
emotional,redundant,,,,lemma-map,→ feel
effectively,redundant,,,,lemma-map,→ target
plastic,redundant,,,,lemma-map,→ get
boss,redundant,,,,lemma-map,→ leader
mechanism,redundant,,,,lemma-map,→ use
crash,redundant,,,,lemma-map,→ happen
unusual,redundant,,,,lemma-map,→ rare
fundamental,redundant,,,,lemma-map,→ wall
soul,redundant,,,,lemma-map,→ free
capable,redundant,,,,lemma-map,→ can
presidential,redundant,,,,lemma-map,→ leader
perfectly,redundant,,,,lemma-map,→ lot
proud,redundant,,,,lemma-map,→ success
emergency,redundant,,,,lemma-map,→ need
educational,redundant,,,,lemma-map,→ school
substantial,redundant,,,,lemma-map,→ large
valuable,redundant,,,,lemma-map,→ value
personally,redundant,,,,lemma-map,→ identify
corporation,redundant,,,,lemma-map,→ company
partly,redundant,,,,lemma-map,→ part
massive,redundant,,,,lemma-map,→ high
sufficient,redundant,,,,lemma-map,→ enough
update,redundant,,,,lemma-map,→ change
luck,redundant,,,,lemma-map,→ try
split,redundant,,,,lemma-map,→ separate
sudden,redundant,,,,lemma-map,→ happen
consistent,redundant,,,,lemma-map,→ same
originally,redundant,,,,lemma-map,→ new
secondly,redundant,,,,lemma-map,→ two
severe,redundant,,,,lemma-map,→ bad
primarily,redundant,,,,lemma-map,→ great
calm,redundant,,,,lemma-map,→ free
rapidly,redundant,,,,lemma-map,→ fast
efficient,redundant,,,,lemma-map,→ fast
exhibit,redundant,,,,lemma-map,→ show
thick,redundant,,,,lemma-map,→ wall
achievement,redundant,,,,lemma-map,→ success
prize,redundant,,,,lemma-map,→ win
typically,redundant,,,,lemma-map,→ typical
deeply,redundant,,,,lemma-map,→ ocean
electricity,redundant,,,,lemma-map,→ power
respectively,redundant,,,,lemma-map,→ typical
ultimately,redundant,,,,lemma-map,→ end
agenda,redundant,,,,lemma-map,→ plan
emphasis,redundant,,,,lemma-map,→ important
unlikely,redundant,,,,lemma-map,→ worry
slight,redundant,,,,lemma-map,→ little
equivalent,redundant,,,,lemma-map,→ equal
solid,redundant,,,,lemma-map,→ hard
elderly,redundant,,,,lemma-map,→ old
owe,redundant,,,,lemma-map,→ loan
contemporary,redundant,,,,lemma-map,→ now
numerous,redundant,,,,lemma-map,→ lot
virtually,redundant,,,,lemma-map,→ almost
wet,redundant,,,,lemma-map,→ water
false,redundant,,,,lemma-map,→ wrong
assist,redundant,,,,lemma-map,→ help
alter,redundant,,,,lemma-map,→ change
stare,redundant,,,,lemma-map,→ look
convert,redundant,,,,lemma-map,→ change
heavily,redundant,,,,lemma-map,→ harbor
vital,redundant,,,,lemma-map,→ important
fascinate,redundant,,,,lemma-map,→ interest
spare,redundant,,,,lemma-map,→ add
whenever,redundant,,,,lemma-map,→ year
depression,redundant,,,,lemma-map,→ sad
guilty,redundant,,,,lemma-map,→ worry
underlie,redundant,,,,lemma-map,→ wall
mom,redundant,,,,lemma-map,→ lady
distinction,redundant,,,,lemma-map,→ opposite
satisfaction,redundant,,,,lemma-map,→ happy
incorporate,redundant,,,,lemma-map,→ add
perception,redundant,,,,lemma-map,→ look
naturally,redundant,,,,lemma-map,→ life
currency,redundant,,,,lemma-map,→ exchange
database,redundant,,,,lemma-map,→ computer
initially,redundant,,,,lemma-map,→ start
stream,redundant,,,,lemma-map,→ water
rarely,redundant,,,,lemma-map,→ wait
height,redundant,,,,lemma-map,→ high
apparent,redundant,,,,lemma-map,→ look
expansion,redundant,,,,lemma-map,→ increase
constantly,redundant,,,,lemma-map,→ again
muscle,redundant,,,,lemma-map,→ strong
scare,redundant,,,,lemma-map,→ afraid
badly,redundant,,,,lemma-map,→ bad
everyday,redundant,,,,lemma-map,→ year
ratio,redundant,,,,lemma-map,→ score
essay,redundant,,,,lemma-map,→ note
pollution,redundant,,,,lemma-map,→ industry
apartment,redundant,,,,lemma-map,→ home
demonstration,redundant,,,,lemma-map,→ sign
analyst,redundant,,,,lemma-map,→ score
platform,redundant,,,,lemma-map,→ perform
transform,redundant,,,,lemma-map,→ become
designer,redundant,,,,lemma-map,→ art
strain,redundant,,,,lemma-map,→ worry
innovation,redundant,,,,lemma-map,→ solution
trail,redundant,,,,lemma-map,→ follow
loose,redundant,,,,lemma-map,→ open
extension,redundant,,,,lemma-map,→ add
wealth,redundant,,,,lemma-map,→ money
gradually,redundant,,,,lemma-map,→ slow
tank,redundant,,,,lemma-map,→ transport
remarkable,redundant,,,,lemma-map,→ great
invitation,redundant,,,,lemma-map,→ mail
transition,redundant,,,,lemma-map,→ change
frighten,redundant,,,,lemma-map,→ afraid
agricultural,redundant,,,,lemma-map,→ farm
planet,redundant,,,,lemma-map,→ world
web,redundant,,,,lemma-map,→ online
portion,redundant,,,,lemma-map,→ part
extensive,redundant,,,,lemma-map,→ large
exam,redundant,,,,lemma-map,→ test
similarly,redundant,,,,lemma-map,→ same
subsequent,redundant,,,,lemma-map,→ next
regularly,redundant,,,,lemma-map,→ again
iron,redundant,,,,lemma-map,→ steel
quantity,redundant,,,,lemma-map,→ number
briefly,redundant,,,,lemma-map,→ note
alarm,redundant,,,,lemma-map,→ late
newly,redundant,,,,lemma-map,→ new
occasionally,redundant,,,,lemma-map,→ rare
apologize,redundant,,,,lemma-map,→ sad
grab,redundant,,,,lemma-map,→ take
conventional,redundant,,,,lemma-map,→ custom
digital,redundant,,,,lemma-map,→ computer
pleasant,redundant,,,,lemma-map,→ new
tube,redundant,,,,lemma-map,→ test
infant,redundant,,,,lemma-map,→ little
dependent,redundant,,,,lemma-map,→ need
anxiety,redundant,,,,lemma-map,→ worry
virus,redundant,,,,lemma-map,→ cell
precisely,redundant,,,,lemma-map,→ exact
detect,redundant,,,,lemma-map,→ find
illegal,redundant,,,,lemma-map,→ law
universal,redundant,,,,lemma-map,→ world
adequate,redundant,,,,lemma-map,→ enough
visual,redundant,,,,lemma-map,→ see
stupid,redundant,,,,lemma-map,→ dirty
ethnic,redundant,,,,lemma-map,→ perform
clinical,redundant,,,,lemma-map,→ medical
forecast,redundant,,,,lemma-map,→ maybe
segment,redundant,,,,lemma-map,→ part
rescue,redundant,,,,lemma-map,→ help
comprehensive,redundant,,,,lemma-map,→ end
rapid,redundant,,,,lemma-map,→ fast
cancel,redundant,,,,lemma-map,→ wrong
regret,redundant,,,,lemma-map,→ sad
absolute,redundant,,,,lemma-map,→ all
greatly,redundant,,,,lemma-map,→ great
visible,redundant,,,,lemma-map,→ see
impressive,redundant,,,,lemma-map,→ great
violent,redundant,,,,lemma-map,→ violence
wealthy,redundant,,,,lemma-map,→ money
acceptable,redundant,,,,lemma-map,→ ok
successfully,redundant,,,,lemma-map,→ success
mutual,redundant,,,,lemma-map,→ agree
champion,redundant,,,,lemma-map,→ win
roughly,redundant,,,,lemma-map,→ rough
accomplish,redundant,,,,lemma-map,→ success
glance,redundant,,,,lemma-map,→ look
genetic,redundant,,,,lemma-map,→ gene
literary,redundant,,,,lemma-map,→ literature
govern,redundant,,,,lemma-map,→ government
pump,redundant,,,,lemma-map,→ fuel
classical,redundant,,,,lemma-map,→ government
modify,redundant,,,,lemma-map,→ change
friendship,redundant,,,,lemma-map,→ friend
profession,redundant,,,,lemma-map,→ work
literally,redundant,,,,lemma-map,→ true
historic,redundant,,,,lemma-map,→ story
forever,redundant,,,,lemma-map,→ all
reliable,redundant,,,,lemma-map,→ agree
automatically,redundant,,,,lemma-map,→ gear
psychological,redundant,,,,lemma-map,→ know
dramatically,redundant,,,,lemma-map,→ dramatic
participation,redundant,,,,lemma-map,→ participate
chat,redundant,,,,lemma-map,→ say
evolve,redundant,,,,lemma-map,→ become
democratic,redundant,,,,lemma-map,→ democracy
consequently,redundant,,,,lemma-map,→ result
whilst,redundant,,,,lemma-map,→ while
bin,redundant,,,,lemma-map,→ waste
potentially,redundant,,,,lemma-map,→ maybe
intense,redundant,,,,lemma-map,→ strong
craft,redundant,,,,lemma-map,→ make
strict,redundant,,,,lemma-map,→ hard
wise,redundant,,,,lemma-map,→ smart
compose,redundant,,,,lemma-map,→ write
presumably,redundant,,,,lemma-map,→ idea
regardless,redundant,,,,lemma-map,→ ignore
racial,redundant,,,,lemma-map,→ run
hopefully,redundant,,,,lemma-map,→ want
barely,redundant,,,,lemma-map,→ almost
firmly,redundant,,,,lemma-map,→ hard
nowhere,redundant,,,,lemma-map,→ empty
surprisingly,redundant,,,,lemma-map,→ surprise
differently,redundant,,,,lemma-map,→ different
continuous,redundant,,,,lemma-map,→ fast
biological,redundant,,,,lemma-map,→ life
weekly,redundant,,,,lemma-map,→ year
wherever,redundant,,,,lemma-map,→ world
firstly,redundant,,,,lemma-map,→ win
quietly,redundant,,,,lemma-map,→ silence
altogether,redundant,,,,lemma-map,→ all
controversial,redundant,,,,lemma-map,→ debate
revise,redundant,,,,lemma-map,→ change
genuine,redundant,,,,lemma-map,→ true
universe,redundant,,,,lemma-map,→ space
innocent,redundant,,,,lemma-map,→ pure
reasonably,redundant,,,,lemma-map,→ know
flexible,redundant,,,,lemma-map,→ soft
precise,redundant,,,,lemma-map,→ exact
leather,redundant,,,,lemma-map,→ bag
monthly,redundant,,,,lemma-map,→ year
experimental,redundant,,,,lemma-map,→ test
institutional,redundant,,,,lemma-map,→ government
subsequently,redundant,,,,lemma-map,→ next
functional,redundant,,,,lemma-map,→ work
voluntary,redundant,,,,lemma-map,→ free
organic,redundant,,,,lemma-map,→ life
structural,redundant,,,,lemma-map,→ government
website,redundant,,,,lemma-map,→ computer
gently,redundant,,,,lemma-map,→ gentle
compute,redundant,,,,lemma-map,→ calculate
gaze,redundant,,,,lemma-map,→ look
royal,redundant,,,,lemma-map,→ king
theoretical,redundant,,,,lemma-map,→ idea
immigration,redundant,,,,lemma-map,→ border
faithfully,redundant,,,,lemma-map,→ true
fortunate,redundant,,,,lemma-map,→ try
alright,redundant,,,,lemma-map,→ easy
blog,redundant,,,,lemma-map,→ news
the,function,,,,denylist,
be,function,,,,denylist,
and,function,,,,denylist,
of,function,,,,denylist,
to,function,,,,denylist,
a,function,,,,denylist,
in,function,,,,denylist,
have,function,,,,denylist,
it,function,,,,denylist,
you,function,,,,denylist,
he,function,,,,denylist,
for,function,,,,denylist,
they,function,,,,denylist,
not,function,,,,denylist,
that,function,,,,denylist,
we,function,,,,denylist,
on,function,,,,denylist,
with,function,,,,denylist,
this,function,,,,denylist,
i,function,,,,denylist,
do,function,,,,denylist,
as,function,,,,denylist,
at,function,,,,denylist,
she,function,,,,denylist,
but,function,,,,denylist,
from,function,,,,denylist,
by,function,,,,denylist,
will,function,,,,denylist,
or,function,,,,denylist,
say,metaphor,😠,angry,ano,metaphorical,
go,metaphor,🚶,walking,awu,metaphorical,
so,function,,,,denylist,
all,function,,,,denylist,
if,function,,,,denylist,
one,metaphor,🧤,gloves,ogelove,metaphorical,
would,function,,,,denylist,
about,function,,,,denylist,
can,function,,,,denylist,
which,function,,,,denylist,
there,function,,,,denylist,
know,metaphor,🥫,canned-food,ageno,metaphorical,
more,function,,,,denylist,
get,metaphor,🪕,banjo,abona,metaphorical,
who,function,,,,denylist,
like,metaphor,📽️,projector,oberojo,metaphorical,
when,function,,,,denylist,
think,literal,🤔,think,udu,exact,
make,metaphor,🫏,donkey,ode,metaphorical,
time,literal,🕐,time,udemude,exact,
see,metaphor,🧑‍🩰,ballet,abe,metaphorical,
what,function,,,,denylist,
up,function,,,,denylist,
some,function,,,,denylist,
choose,metaphor,🔘,option,obudono,metaphorical,
out,function,,,,denylist,
good,metaphor,⭕,correct,ogero,metaphorical,
people,metaphor,🇳🇫,norfolk-island,onoru,metaphorical,
year,metaphor,🌸,cherry-blossom,ego,metaphorical,
take,metaphor,✋,hand,aha,metaphorical,
no,function,,,,denylist,
well,function,,,,denylist,
because,function,,,,denylist,
very,function,,,,denylist,
just,function,,,,denylist,
come,metaphor,🛬,arrival,arura,metaphorical,
could,function,,,,denylist,
work,metaphor,🥉,bronze,obero,metaphorical,
use,metaphor,🦿,prosthetic-leg,oberuze,metaphorical,
than,function,,,,denylist,
now,function,,,,denylist,
then,function,,,,denylist,
also,function,,,,denylist,
into,function,,,,denylist,
only,function,,,,denylist,
look,metaphor,🎒,backpack,abaga,metaphorical,
want,metaphor,🥺,pleading,eba,metaphorical,
give,metaphor,☪️,star-crescent,azede,metaphorical,
win,metaphor,🎗️,awareness,aware,metaphorical,
new,metaphor,🏺,amphora,amoba,metaphorical,
way,metaphor,🚸,children-crossing,ugeho,metaphorical,
find,metaphor,🤙,call-me,age,metaphorical,
over,function,,,,denylist,
any,function,,,,denylist,
after,function,,,,denylist,
day,metaphor,🇹🇫,french-southern-territories,evoru,metaphorical,
where,function,,,,denylist,
thing,metaphor,🎠,carousel,agoru,metaphorical,
most,function,,,,denylist,
should,function,,,,denylist,
need,metaphor,🆘,sos,ozozo,metaphorical,
much,function,,,,denylist,
right,literal,➡️,right,urugu,exact,
how,function,,,,denylist,
back,literal,↩️,back,abagaga,exact,
idea,metaphor,🙄,eye-roll,ero,metaphorical,
even,function,,,,denylist,
may,function,,,,denylist,
here,function,,,,denylist,
many,function,,,,denylist,
such,function,,,,denylist,
end,metaphor,🍩,doughnut,odugu,metaphorical,
child,literal,🧒,child,uguhu,exact,
tell,metaphor,⚗️,alembic,alemu,metaphorical,
important,metaphor,🐐,goat,oga,metaphorical,
call,metaphor,🧈,butter,ubedu,metaphorical,
before,function,,,,denylist,
company,metaphor,☣️,biohazard,uboha,metaphorical,
through,function,,,,denylist,
down,function,,,,denylist,
show,metaphor,🎦,cinema,ugena,metaphorical,
life,metaphor,🦙,llama,ala,metaphorical,
man,literal,👨,man,amana,exact,
change,metaphor,🔄,refresh,ereve,metaphorical,
place,metaphor,🚑,ambulance,amuba,metaphorical,
long,metaphor,📵,no-phone,onobe,metaphorical,
between,function,,,,denylist,
feel,metaphor,💓,heartbeat,ehare,metaphorical,
too,function,,,,denylist,
still,function,,,,denylist,
problem,metaphor,🌯,burrito,uburo,metaphorical,
write,metaphor,✍️,writing-hand,uwura,metaphorical,
same,function,,,,denylist,
lot,metaphor,💯,hundred,uhe,metaphorical,
great,metaphor,🎌,crossed-flags,ogera,metaphorical,
try,metaphor,🤞,crossed-fingers,ogeru,metaphorical,
leave,metaphor,⏫,fast-up,avuza,metaphorical,
number,metaphor,🥍,lacrosse,aloge,metaphorical,
both,function,,,,denylist,
own,function,,,,denylist,
part,metaphor,🛶,canoe,agone,metaphorical,
point,literal,☝️,point,obuno,exact,
little,metaphor,🔞,no-minors,onumo,metaphorical,
help,metaphor,↖️,up-left,ubeluve,metaphorical,
ask,metaphor,🪆,nesting-dolls,enuzo,metaphorical,
agree,metaphor,🏴,black-flag,abalagaga,metaphorical,
start,metaphor,▶️,play,abola,metaphorical,
something,function,,,,denylist,
submit,metaphor,📥,inbox,uno,metaphorical,
another,function,,,,denylist,
become,metaphor,🦋,butterfly,ubedo,metaphorical,
interest,metaphor,🤩,starstruck,azu,metaphorical,
world,metaphor,🍍,pineapple,ubena,metaphorical,
old,metaphor,👴,old-man,ola,metaphorical,
each,function,,,,denylist,
school,literal,🏫,school,ozogo,exact,
late,metaphor,⏰,alarm-clock,alaro,metaphorical,
high,metaphor,🦗,cricket,ugeru,metaphorical,
different,metaphor,🤤,drool,odo,metaphorical,
off,function,,,,denylist,
next,metaphor,⏭️,next-track,enaze,metaphorical,
why,function,,,,denylist,
while,function,,,,denylist,
play,literal,▶️,play,abola,exact,
might,function,,,,denylist,
must,function,,,,denylist,
home,metaphor,🫑,bell-pepper,ebele,metaphorical,
never,function,,,,denylist,
add,metaphor,👺,goblin,ogubo,metaphorical,
learn,metaphor,♑,capricorn,agubo,metaphorical,
house,literal,🏠,house,ohuze,exact,
news,metaphor,🪺,nest,eneze,metaphorical,
document,metaphor,📁,file-folder,uvelove,metaphorical,
woman,literal,👩,woman,owamo,exact,
around,function,,,,denylist,
book,literal,📖,book,obogo,exact,
family,literal,👪,family,avumo,exact,
