emoji,name,concept,concept_source,iconic,emojese,codepoints,status,group,subgroup
👨🏽‍🦲,"man: medium skin tone, bald",,,,,1F468 1F3FD 200D 1F9B2,fully-qualified,People & Body,person
👨🏾‍🦲,"man: medium-dark skin tone, bald",,,,,1F468 1F3FE 200D 1F9B2,fully-qualified,People & Body,person
👨🏿‍🦲,"man: dark skin tone, bald",,,,,1F468 1F3FF 200D 1F9B2,fully-qualified,People & Body,person
👩,woman,woman,emojese,woman,woman,1F469,fully-qualified,People & Body,person
👩🏻,woman: light skin tone,,,,,1F469 1F3FB,fully-qualified,People & Body,person
👩🏼,woman: medium-light skin tone,,,,,1F469 1F3FC,fully-qualified,People & Body,person
👩🏽,woman: medium skin tone,,,,,1F469 1F3FD,fully-qualified,People & Body,person
👩🏾,woman: medium-dark skin tone,,,,,1F469 1F3FE,fully-qualified,People & Body,person
👩🏿,woman: dark skin tone,,,,,1F469 1F3FF,fully-qualified,People & Body,person
👩‍🦰,woman: red hair,,,,,1F469 200D 1F9B0,fully-qualified,People & Body,person
👩🏻‍🦰,"woman: light skin tone, red hair",,,,,1F469 1F3FB 200D 1F9B0,fully-qualified,People & Body,person
👩🏼‍🦰,"woman: medium-light skin tone, red hair",,,,,1F469 1F3FC 200D 1F9B0,fully-qualified,People & Body,person
👩🏽‍🦰,"woman: medium skin tone, red hair",,,,,1F469 1F3FD 200D 1F9B0,fully-qualified,People & Body,person
👩🏾‍🦰,"woman: medium-dark skin tone, red hair",,,,,1F469 1F3FE 200D 1F9B0,fully-qualified,People & Body,person
👩🏿‍🦰,"woman: dark skin tone, red hair",,,,,1F469 1F3FF 200D 1F9B0,fully-qualified,People & Body,person
🧑‍🦰,person: red hair,,,,,1F9D1 200D 1F9B0,fully-qualified,People & Body,person
🧑🏻‍🦰,"person: light skin tone, red hair",,,,,1F9D1 1F3FB 200D 1F9B0,fully-qualified,People & Body,person
🧑🏼‍🦰,"person: medium-light skin tone, red hair",,,,,1F9D1 1F3FC 200D 1F9B0,fully-qualified,People & Body,person
🧑🏽‍🦰,"person: medium skin tone, red hair",,,,,1F9D1 1F3FD 200D 1F9B0,fully-qualified,People & Body,person
🧑🏾‍🦰,"person: medium-dark skin tone, red hair",,,,,1F9D1 1F3FE 200D 1F9B0,fully-qualified,People & Body,person
🧑🏿‍🦰,"person: dark skin tone, red hair",,,,,1F9D1 1F3FF 200D 1F9B0,fully-qualified,People & Body,person
👩‍🦱,woman: curly hair,,,,,1F469 200D 1F9B1,fully-qualified,People & Body,person
👩🏻‍🦱,"woman: light skin tone, curly hair",,,,,1F469 1F3FB 200D 1F9B1,fully-qualified,People & Body,person
👩🏼‍🦱,"woman: medium-light skin tone, curly hair",,,,,1F469 1F3FC 200D 1F9B1,fully-qualified,People & Body,person
👩🏽‍🦱,"woman: medium skin tone, curly hair",,,,,1F469 1F3FD 200D 1F9B1,fully-qualified,People & Body,person
👩🏾‍🦱,"woman: medium-dark skin tone, curly hair",,,,,1F469 1F3FE 200D 1F9B1,fully-qualified,People & Body,person
👩🏿‍🦱,"woman: dark skin tone, curly hair",,,,,1F469 1F3FF 200D 1F9B1,fully-qualified,People & Body,person
🧑‍🦱,person: curly hair,,,,,1F9D1 200D 1F9B1,fully-qualified,People & Body,person
🧑🏻‍🦱,"person: light skin tone, curly hair",,,,,1F9D1 1F3FB 200D 1F9B1,fully-qualified,People & Body,person
🧑🏼‍🦱,"person: medium-light skin tone, curly hair",,,,,1F9D1 1F3FC 200D 1F9B1,fully-qualified,People & Body,person
🧑🏽‍🦱,"person: medium skin tone, curly hair",,,,,1F9D1 1F3FD 200D 1F9B1,fully-qualified,People & Body,person
🧑🏾‍🦱,"person: medium-dark skin tone, curly hair",,,,,1F9D1 1F3FE 200D 1F9B1,fully-qualified,People & Body,person
🧑🏿‍🦱,"person: dark skin tone, curly hair",,,,,1F9D1 1F3FF 200D 1F9B1,fully-qualified,People & Body,person
👩‍🦳,woman: white hair,,,,,1F469 200D 1F9B3,fully-qualified,People & Body,person
👩🏻‍🦳,"woman: light skin tone, white hair",,,,,1F469 1F3FB 200D 1F9B3,fully-qualified,People & Body,person
👩🏼‍🦳,"woman: medium-light skin tone, white hair",,,,,1F469 1F3FC 200D 1F9B3,fully-qualified,People & Body,person
👩🏽‍🦳,"woman: medium skin tone, white hair",,,,,1F469 1F3FD 200D 1F9B3,fully-qualified,People & Body,person
👩🏾‍🦳,"woman: medium-dark skin tone, white hair",,,,,1F469 1F3FE 200D 1F9B3,fully-qualified,People & Body,person
👩🏿‍🦳,"woman: dark skin tone, white hair",,,,,1F469 1F3FF 200D 1F9B3,fully-qualified,People & Body,person
🧑‍🦳,person: white hair,,,,,1F9D1 200D 1F9B3,fully-qualified,People & Body,person
🧑🏻‍🦳,"person: light skin tone, white hair",,,,,1F9D1 1F3FB 200D 1F9B3,fully-qualified,People & Body,person
🧑🏼‍🦳,"person: medium-light skin tone, white hair",,,,,1F9D1 1F3FC 200D 1F9B3,fully-qualified,People & Body,person
🧑🏽‍🦳,"person: medium skin tone, white hair",,,,,1F9D1 1F3FD 200D 1F9B3,fully-qualified,People & Body,person
🧑🏾‍🦳,"person: medium-dark skin tone, white hair",,,,,1F9D1 1F3FE 200D 1F9B3,fully-qualified,People & Body,person
🧑🏿‍🦳,"person: dark skin tone, white hair",,,,,1F9D1 1F3FF 200D 1F9B3,fully-qualified,People & Body,person
👩‍🦲,woman: bald,,,,,1F469 200D 1F9B2,fully-qualified,People & Body,person
👩🏻‍🦲,"woman: light skin tone, bald",,,,,1F469 1F3FB 200D 1F9B2,fully-qualified,People & Body,person
👩🏼‍🦲,"woman: medium-light skin tone, bald",,,,,1F469 1F3FC 200D 1F9B2,fully-qualified,People & Body,person
👩🏽‍🦲,"woman: medium skin tone, bald",,,,,1F469 1F3FD 200D 1F9B2,fully-qualified,People & Body,person
👩🏾‍🦲,"woman: medium-dark skin tone, bald",,,,,1F469 1F3FE 200D 1F9B2,fully-qualified,People & Body,person
👩🏿‍🦲,"woman: dark skin tone, bald",,,,,1F469 1F3FF 200D 1F9B2,fully-qualified,People & Body,person
🧑‍🦲,person: bald,,,,,1F9D1 200D 1F9B2,fully-qualified,People & Body,person
🧑🏻‍🦲,"person: light skin tone, bald",,,,,1F9D1 1F3FB 200D 1F9B2,fully-qualified,People & Body,person
🧑🏼‍🦲,"person: medium-light skin tone, bald",,,,,1F9D1 1F3FC 200D 1F9B2,fully-qualified,People & Body,person
🧑🏽‍🦲,"person: medium skin tone, bald",,,,,1F9D1 1F3FD 200D 1F9B2,fully-qualified,People & Body,person
🧑🏾‍🦲,"person: medium-dark skin tone, bald",,,,,1F9D1 1F3FE 200D 1F9B2,fully-qualified,People & Body,person
🧑🏿‍🦲,"person: dark skin tone, bald",,,,,1F9D1 1F3FF 200D 1F9B2,fully-qualified,People & Body,person
👱‍♀️,woman: blond hair,,,,,1F471 200D 2640 FE0F,fully-qualified,People & Body,person
👱🏻‍♀️,"woman: light skin tone, blond hair",,,,,1F471 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person
👱🏼‍♀️,"woman: medium-light skin tone, blond hair",,,,,1F471 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person
👱🏽‍♀️,"woman: medium skin tone, blond hair",,,,,1F471 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person
👱🏾‍♀️,"woman: medium-dark skin tone, blond hair",,,,,1F471 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person
👱🏿‍♀️,"woman: dark skin tone, blond hair",,,,,1F471 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person
👱‍♂️,man: blond hair,,,,,1F471 200D 2642 FE0F,fully-qualified,People & Body,person
👱🏻‍♂️,"man: light skin tone, blond hair",,,,,1F471 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person
👱🏼‍♂️,"man: medium-light skin tone, blond hair",,,,,1F471 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person
👱🏽‍♂️,"man: medium skin tone, blond hair",,,,,1F471 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person
👱🏾‍♂️,"man: medium-dark skin tone, blond hair",,,,,1F471 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person
👱🏿‍♂️,"man: dark skin tone, blond hair",,,,,1F471 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person
🧓,older person,,,,,1F9D3,fully-qualified,People & Body,person
🧓🏻,older person: light skin tone,,,,,1F9D3 1F3FB,fully-qualified,People & Body,person
🧓🏼,older person: medium-light skin tone,,,,,1F9D3 1F3FC,fully-qualified,People & Body,person
🧓🏽,older person: medium skin tone,,,,,1F9D3 1F3FD,fully-qualified,People & Body,person
🧓🏾,older person: medium-dark skin tone,,,,,1F9D3 1F3FE,fully-qualified,People & Body,person
🧓🏿,older person: dark skin tone,,,,,1F9D3 1F3FF,fully-qualified,People & Body,person
👴,old man,oldman,iconic,oldman,,1F474,fully-qualified,People & Body,person
👴🏻,old man: light skin tone,,,,,1F474 1F3FB,fully-qualified,People & Body,person
👴🏼,old man: medium-light skin tone,,,,,1F474 1F3FC,fully-qualified,People & Body,person
👴🏽,old man: medium skin tone,,,,,1F474 1F3FD,fully-qualified,People & Body,person
👴🏾,old man: medium-dark skin tone,,,,,1F474 1F3FE,fully-qualified,People & Body,person
👴🏿,old man: dark skin tone,,,,,1F474 1F3FF,fully-qualified,People & Body,person
👵,old woman,oldwoman,iconic,oldwoman,,1F475,fully-qualified,People & Body,person
👵🏻,old woman: light skin tone,,,,,1F475 1F3FB,fully-qualified,People & Body,person
👵🏼,old woman: medium-light skin tone,,,,,1F475 1F3FC,fully-qualified,People & Body,person
👵🏽,old woman: medium skin tone,,,,,1F475 1F3FD,fully-qualified,People & Body,person
👵🏾,old woman: medium-dark skin tone,,,,,1F475 1F3FE,fully-qualified,People & Body,person
👵🏿,old woman: dark skin tone,,,,,1F475 1F3FF,fully-qualified,People & Body,person
🙍,person frowning,,,,,1F64D,fully-qualified,People & Body,person-gesture
🙍🏻,person frowning: light skin tone,,,,,1F64D 1F3FB,fully-qualified,People & Body,person-gesture
🙍🏼,person frowning: medium-light skin tone,,,,,1F64D 1F3FC,fully-qualified,People & Body,person-gesture
🙍🏽,person frowning: medium skin tone,,,,,1F64D 1F3FD,fully-qualified,People & Body,person-gesture
🙍🏾,person frowning: medium-dark skin tone,,,,,1F64D 1F3FE,fully-qualified,People & Body,person-gesture
🙍🏿,person frowning: dark skin tone,,,,,1F64D 1F3FF,fully-qualified,People & Body,person-gesture
🙍‍♂️,man frowning,,,,,1F64D 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙍🏻‍♂️,man frowning: light skin tone,,,,,1F64D 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙍🏼‍♂️,man frowning: medium-light skin tone,,,,,1F64D 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙍🏽‍♂️,man frowning: medium skin tone,,,,,1F64D 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙍🏾‍♂️,man frowning: medium-dark skin tone,,,,,1F64D 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙍🏿‍♂️,man frowning: dark skin tone,,,,,1F64D 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙍‍♀️,woman frowning,,,,,1F64D 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙍🏻‍♀️,woman frowning: light skin tone,,,,,1F64D 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙍🏼‍♀️,woman frowning: medium-light skin tone,,,,,1F64D 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙍🏽‍♀️,woman frowning: medium skin tone,,,,,1F64D 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙍🏾‍♀️,woman frowning: medium-dark skin tone,,,,,1F64D 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙍🏿‍♀️,woman frowning: dark skin tone,,,,,1F64D 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙎,person pouting,,,,,1F64E,fully-qualified,People & Body,person-gesture
🙎🏻,person pouting: light skin tone,,,,,1F64E 1F3FB,fully-qualified,People & Body,person-gesture
🙎🏼,person pouting: medium-light skin tone,,,,,1F64E 1F3FC,fully-qualified,People & Body,person-gesture
🙎🏽,person pouting: medium skin tone,,,,,1F64E 1F3FD,fully-qualified,People & Body,person-gesture
🙎🏾,person pouting: medium-dark skin tone,,,,,1F64E 1F3FE,fully-qualified,People & Body,person-gesture
🙎🏿,person pouting: dark skin tone,,,,,1F64E 1F3FF,fully-qualified,People & Body,person-gesture
🙎‍♂️,man pouting,,,,,1F64E 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙎🏻‍♂️,man pouting: light skin tone,,,,,1F64E 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙎🏼‍♂️,man pouting: medium-light skin tone,,,,,1F64E 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙎🏽‍♂️,man pouting: medium skin tone,,,,,1F64E 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙎🏾‍♂️,man pouting: medium-dark skin tone,,,,,1F64E 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙎🏿‍♂️,man pouting: dark skin tone,,,,,1F64E 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙎‍♀️,woman pouting,,,,,1F64E 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙎🏻‍♀️,woman pouting: light skin tone,,,,,1F64E 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙎🏼‍♀️,woman pouting: medium-light skin tone,,,,,1F64E 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙎🏽‍♀️,woman pouting: medium skin tone,,,,,1F64E 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙎🏾‍♀️,woman pouting: medium-dark skin tone,,,,,1F64E 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙎🏿‍♀️,woman pouting: dark skin tone,,,,,1F64E 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙅,person gesturing NO,maynot,iconic,maynot,,1F645,fully-qualified,People & Body,person-gesture
🙅🏻,person gesturing NO: light skin tone,,,,,1F645 1F3FB,fully-qualified,People & Body,person-gesture
🙅🏼,person gesturing NO: medium-light skin tone,,,,,1F645 1F3FC,fully-qualified,People & Body,person-gesture
🙅🏽,person gesturing NO: medium skin tone,,,,,1F645 1F3FD,fully-qualified,People & Body,person-gesture
🙅🏾,person gesturing NO: medium-dark skin tone,,,,,1F645 1F3FE,fully-qualified,People & Body,person-gesture
🙅🏿,person gesturing NO: dark skin tone,,,,,1F645 1F3FF,fully-qualified,People & Body,person-gesture
🙅‍♂️,man gesturing NO,,,,,1F645 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙅🏻‍♂️,man gesturing NO: light skin tone,,,,,1F645 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙅🏼‍♂️,man gesturing NO: medium-light skin tone,,,,,1F645 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙅🏽‍♂️,man gesturing NO: medium skin tone,,,,,1F645 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙅🏾‍♂️,man gesturing NO: medium-dark skin tone,,,,,1F645 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙅🏿‍♂️,man gesturing NO: dark skin tone,,,,,1F645 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙅‍♀️,woman gesturing NO,,,,,1F645 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙅🏻‍♀️,woman gesturing NO: light skin tone,,,,,1F645 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙅🏼‍♀️,woman gesturing NO: medium-light skin tone,,,,,1F645 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙅🏽‍♀️,woman gesturing NO: medium skin tone,,,,,1F645 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙅🏾‍♀️,woman gesturing NO: medium-dark skin tone,,,,,1F645 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙅🏿‍♀️,woman gesturing NO: dark skin tone,,,,,1F645 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙆,person gesturing OK,,,,,1F646,fully-qualified,People & Body,person-gesture
🙆🏻,person gesturing OK: light skin tone,,,,,1F646 1F3FB,fully-qualified,People & Body,person-gesture
🙆🏼,person gesturing OK: medium-light skin tone,,,,,1F646 1F3FC,fully-qualified,People & Body,person-gesture
🙆🏽,person gesturing OK: medium skin tone,,,,,1F646 1F3FD,fully-qualified,People & Body,person-gesture
🙆🏾,person gesturing OK: medium-dark skin tone,,,,,1F646 1F3FE,fully-qualified,People & Body,person-gesture
🙆🏿,person gesturing OK: dark skin tone,,,,,1F646 1F3FF,fully-qualified,People & Body,person-gesture
🙆‍♂️,man gesturing OK,,,,,1F646 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙆🏻‍♂️,man gesturing OK: light skin tone,,,,,1F646 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙆🏼‍♂️,man gesturing OK: medium-light skin tone,,,,,1F646 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙆🏽‍♂️,man gesturing OK: medium skin tone,,,,,1F646 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙆🏾‍♂️,man gesturing OK: medium-dark skin tone,,,,,1F646 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙆🏿‍♂️,man gesturing OK: dark skin tone,,,,,1F646 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙆‍♀️,woman gesturing OK,,,,,1F646 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙆🏻‍♀️,woman gesturing OK: light skin tone,,,,,1F646 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙆🏼‍♀️,woman gesturing OK: medium-light skin tone,,,,,1F646 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙆🏽‍♀️,woman gesturing OK: medium skin tone,,,,,1F646 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙆🏾‍♀️,woman gesturing OK: medium-dark skin tone,,,,,1F646 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙆🏿‍♀️,woman gesturing OK: dark skin tone,,,,,1F646 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
💁,person tipping hand,have,emojese,,have,1F481,fully-qualified,People & Body,person-gesture
💁🏻,person tipping hand: light skin tone,,,,,1F481 1F3FB,fully-qualified,People & Body,person-gesture
💁🏼,person tipping hand: medium-light skin tone,,,,,1F481 1F3FC,fully-qualified,People & Body,person-gesture
💁🏽,person tipping hand: medium skin tone,,,,,1F481 1F3FD,fully-qualified,People & Body,person-gesture
💁🏾,person tipping hand: medium-dark skin tone,,,,,1F481 1F3FE,fully-qualified,People & Body,person-gesture
💁🏿,person tipping hand: dark skin tone,,,,,1F481 1F3FF,fully-qualified,People & Body,person-gesture
💁‍♂️,man tipping hand,,,,,1F481 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
💁🏻‍♂️,man tipping hand: light skin tone,,,,,1F481 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
💁🏼‍♂️,man tipping hand: medium-light skin tone,,,,,1F481 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
💁🏽‍♂️,man tipping hand: medium skin tone,,,,,1F481 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
💁🏾‍♂️,man tipping hand: medium-dark skin tone,,,,,1F481 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
💁🏿‍♂️,man tipping hand: dark skin tone,,,,,1F481 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
💁‍♀️,woman tipping hand,,,,,1F481 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
💁🏻‍♀️,woman tipping hand: light skin tone,,,,,1F481 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
💁🏼‍♀️,woman tipping hand: medium-light skin tone,,,,,1F481 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
💁🏽‍♀️,woman tipping hand: medium skin tone,,,,,1F481 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
💁🏾‍♀️,woman tipping hand: medium-dark skin tone,,,,,1F481 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
💁🏿‍♀️,woman tipping hand: dark skin tone,,,,,1F481 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙋,person raising hand,raisehand,iconic,raisehand,,1F64B,fully-qualified,People & Body,person-gesture
🙋🏻,person raising hand: light skin tone,,,,,1F64B 1F3FB,fully-qualified,People & Body,person-gesture
🙋🏼,person raising hand: medium-light skin tone,,,,,1F64B 1F3FC,fully-qualified,People & Body,person-gesture
🙋🏽,person raising hand: medium skin tone,,,,,1F64B 1F3FD,fully-qualified,People & Body,person-gesture
🙋🏾,person raising hand: medium-dark skin tone,,,,,1F64B 1F3FE,fully-qualified,People & Body,person-gesture
🙋🏿,person raising hand: dark skin tone,,,,,1F64B 1F3FF,fully-qualified,People & Body,person-gesture
🙋‍♂️,man raising hand,,,,,1F64B 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙋🏻‍♂️,man raising hand: light skin tone,,,,,1F64B 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙋🏼‍♂️,man raising hand: medium-light skin tone,,,,,1F64B 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙋🏽‍♂️,man raising hand: medium skin tone,,,,,1F64B 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙋🏾‍♂️,man raising hand: medium-dark skin tone,,,,,1F64B 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙋🏿‍♂️,man raising hand: dark skin tone,,,,,1F64B 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙋‍♀️,woman raising hand,,,,,1F64B 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙋🏻‍♀️,woman raising hand: light skin tone,,,,,1F64B 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙋🏼‍♀️,woman raising hand: medium-light skin tone,,,,,1F64B 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙋🏽‍♀️,woman raising hand: medium skin tone,,,,,1F64B 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙋🏾‍♀️,woman raising hand: medium-dark skin tone,,,,,1F64B 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙋🏿‍♀️,woman raising hand: dark skin tone,,,,,1F64B 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🧏,deaf person,deaf,emojese,,deaf,1F9CF,fully-qualified,People & Body,person-gesture
🧏🏻,deaf person: light skin tone,,,,,1F9CF 1F3FB,fully-qualified,People & Body,person-gesture
🧏🏼,deaf person: medium-light skin tone,,,,,1F9CF 1F3FC,fully-qualified,People & Body,person-gesture
🧏🏽,deaf person: medium skin tone,,,,,1F9CF 1F3FD,fully-qualified,People & Body,person-gesture
🧏🏾,deaf person: medium-dark skin tone,,,,,1F9CF 1F3FE,fully-qualified,People & Body,person-gesture
🧏🏿,deaf person: dark skin tone,,,,,1F9CF 1F3FF,fully-qualified,People & Body,person-gesture
🧏‍♂️,deaf man,,,,,1F9CF 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🧏🏻‍♂️,deaf man: light skin tone,,,,,1F9CF 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🧏🏼‍♂️,deaf man: medium-light skin tone,,,,,1F9CF 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🧏🏽‍♂️,deaf man: medium skin tone,,,,,1F9CF 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🧏🏾‍♂️,deaf man: medium-dark skin tone,,,,,1F9CF 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🧏🏿‍♂️,deaf man: dark skin tone,,,,,1F9CF 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🧏‍♀️,deaf woman,,,,,1F9CF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🧏🏻‍♀️,deaf woman: light skin tone,,,,,1F9CF 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🧏🏼‍♀️,deaf woman: medium-light skin tone,,,,,1F9CF 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🧏🏽‍♀️,deaf woman: medium skin tone,,,,,1F9CF 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🧏🏾‍♀️,deaf woman: medium-dark skin tone,,,,,1F9CF 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🧏🏿‍♀️,deaf woman: dark skin tone,,,,,1F9CF 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙇,person bowing,sorry,emojese,excuse,sorry,1F647,fully-qualified,People & Body,person-gesture
🙇🏻,person bowing: light skin tone,,,,,1F647 1F3FB,fully-qualified,People & Body,person-gesture
🙇🏼,person bowing: medium-light skin tone,,,,,1F647 1F3FC,fully-qualified,People & Body,person-gesture
🙇🏽,person bowing: medium skin tone,,,,,1F647 1F3FD,fully-qualified,People & Body,person-gesture
🙇🏾,person bowing: medium-dark skin tone,,,,,1F647 1F3FE,fully-qualified,People & Body,person-gesture
🙇🏿,person bowing: dark skin tone,,,,,1F647 1F3FF,fully-qualified,People & Body,person-gesture
🙇‍♂️,man bowing,,,,,1F647 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙇🏻‍♂️,man bowing: light skin tone,,,,,1F647 1F3FB 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙇🏼‍♂️,man bowing: medium-light skin tone,,,,,1F647 1F3FC 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙇🏽‍♂️,man bowing: medium skin tone,,,,,1F647 1F3FD 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙇🏾‍♂️,man bowing: medium-dark skin tone,,,,,1F647 1F3FE 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙇🏿‍♂️,man bowing: dark skin tone,,,,,1F647 1F3FF 200D 2642 FE0F,fully-qualified,People & Body,person-gesture
🙇‍♀️,woman bowing,,,,,1F647 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙇🏻‍♀️,woman bowing: light skin tone,,,,,1F647 1F3FB 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙇🏼‍♀️,woman bowing: medium-light skin tone,,,,,1F647 1F3FC 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙇🏽‍♀️,woman bowing: medium skin tone,,,,,1F647 1F3FD 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙇🏾‍♀️,woman bowing: medium-dark skin tone,,,,,1F647 1F3FE 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🙇🏿‍♀️,woman bowing: dark skin tone,,,,,1F647 1F3FF 200D 2640 FE0F,fully-qualified,People & Body,person-gesture
🤦,person facepalming,ugh,emojese,,ugh,1F926,fully-qualified,People & Body,person-gesture
